ID,Time,Value
130-18,2704.0,0.22809008
131-18,2704.0,0.20179875
132-18,2704.0,0.17904589
133-18,2704.0,0.20825298
134-18,2704.0,0.20309004
135-18,2704.0,0.18511795
130-19,2704.0,0.16631547
131-19,2704.0,0.17363721
132-19,2704.0,0.17292748
133-19,2704.0,0.22451493
134-19,2704.0,0.19839138
135-19,2704.0,0.16228321
130-20,2704.0,0.17351173
131-20,2704.0,0.19649135
132-20,2704.0,0.19471294
133-20,2704.0,0.17483273
134-20,2704.0,0.16864729
135-20,2704.0,0.14622389
130-21,2704.0,0.1916917
131-21,2704.0,0.16140808
132-21,2704.0,0.16140096
133-21,2704.0,0.20072895
134-21,2704.0,0.2185617
135-21,2704.0,0.1991481
136-21,2704.0,0.23439738
130-22,2704.0,0.21200027
131-22,2704.0,0.13798906
132-22,2704.0,0.1386595
133-22,2704.0,0.12545277
134-22,2704.0,0.19824289
135-22,2704.0,0.2030671
136-22,2704.0,0.18975253
130-23,2704.0,0.16417849
131-23,2704.0,0.16464837
132-23,2704.0,0.18680233
133-23,2704.0,0.16748367
134-23,2704.0,0.14977822
135-23,2704.0,0.15938058
136-23,2704.0,0.18213901
130-24,2704.0,0.18941477
131-24,2704.0,0.20794472
132-24,2704.0,0.1992548
133-24,2704.0,0.14524943
134-24,2704.0,0.16370484
135-24,2704.0,0.18504801
136-24,2704.0,0.17764564
140-24,2704.0,0.15895702
141-24,2704.0,0.17755982
130-25,2704.0,0.25538018
131-25,2704.0,0.19370969
132-25,2704.0,0.24065614
133-25,2704.0,0.19258922
134-25,2704.0,0.16697851
135-25,2704.0,0.18588088
136-25,2704.0,0.16134253
137-25,2704.0,0.16221881
139-25,2704.0,0.15309523
140-25,2704.0,0.13195167
141-25,2704.0,0.121321134
142-25,2704.0,0.167918
130-26,2704.0,0.29330012
131-26,2704.0,0.2771456
132-26,2704.0,0.2510688
133-26,2704.0,0.21915413
134-26,2704.0,0.16506621
135-26,2704.0,0.17716846
136-26,2704.0,0.13627616
137-26,2704.0,0.14379375
138-26,2704.0,0.11335485
139-26,2704.0,0.10163593
140-26,2704.0,0.1379904
141-26,2704.0,0.13267499
142-26,2704.0,0.13272822
130-27,2704.0,0.23693109
131-27,2704.0,0.1876777
132-27,2704.0,0.21373384
133-27,2704.0,0.22646311
134-27,2704.0,0.160994
135-27,2704.0,0.1428521
136-27,2704.0,0.13281427
137-27,2704.0,0.12582487
138-27,2704.0,0.11773893
139-27,2704.0,0.100035585
140-27,2704.0,0.1247845
141-27,2704.0,0.1425571
142-27,2704.0,0.13114162
143-27,2704.0,0.1521179
130-28,2704.0,0.16832629
131-28,2704.0,0.18737611
132-28,2704.0,0.21677883
133-28,2704.0,0.23679143
134-28,2704.0,0.17770322
135-28,2704.0,0.16519272
136-28,2704.0,0.09836892
137-28,2704.0,0.08724559
138-28,2704.0,0.082229495
139-28,2704.0,0.084380254
140-28,2704.0,0.11722374
141-28,2704.0,0.118944354
142-28,2704.0,0.14498731
143-28,2704.0,0.13262828
130-29,2704.0,0.16650936
131-29,2704.0,0.18785933
132-29,2704.0,0.22208297
133-29,2704.0,0.22091839
134-29,2704.0,0.17356113
135-29,2704.0,0.17499104
136-29,2704.0,0.13689235
137-29,2704.0,0.11177115
138-29,2704.0,0.067047566
139-29,2704.0,0.07568086
140-29,2704.0,0.123213574
141-29,2704.0,0.07813382
142-29,2704.0,0.09562654
143-29,2704.0,0.096134
144-29,2704.0,0.10884912
130-30,2704.0,0.1710292
131-30,2704.0,0.16387579
132-30,2704.0,0.1965658
133-30,2704.0,0.26344302
134-30,2704.0,0.19142535
135-30,2704.0,0.15862119
136-30,2704.0,0.13972326
137-30,2704.0,0.11879169
138-30,2704.0,0.091402635
139-30,2704.0,0.08257857
140-30,2704.0,0.10305455
141-30,2704.0,0.10511868
142-30,2704.0,0.102893524
143-30,2704.0,0.11857842
144-30,2704.0,0.1372386
130-31,2704.0,0.14147153
131-31,2704.0,0.19172685
132-31,2704.0,0.22814098
133-31,2704.0,0.21116413
134-31,2704.0,0.20652433
135-31,2704.0,0.1358976
136-31,2704.0,0.10968861
137-31,2704.0,0.12460768
138-31,2704.0,0.10936006
139-31,2704.0,0.10378766
140-31,2704.0,0.09978973
141-31,2704.0,0.1046238
142-31,2704.0,0.09082077
143-31,2704.0,0.08940993
144-31,2704.0,0.097976856
130-32,2704.0,0.110460624
131-32,2704.0,0.22771029
132-32,2704.0,0.18646802
133-32,2704.0,0.16879672
134-32,2704.0,0.1506928
135-32,2704.0,0.115621
136-32,2704.0,0.11595371
137-32,2704.0,0.12906782
138-32,2704.0,0.10388496
139-32,2704.0,0.087655574
140-32,2704.0,0.09267446
141-32,2704.0,0.087483376
142-32,2704.0,0.07597244
143-32,2704.0,0.05241898
144-32,2704.0,0.060546055
130-33,2704.0,0.119300336
131-33,2704.0,0.08235006
132-33,2704.0,0.1593114
133-33,2704.0,0.13998334
134-33,2704.0,0.10297299
135-33,2704.0,0.08742957
136-33,2704.0,0.070693515
137-33,2704.0,0.08252536
138-33,2704.0,0.09339475
139-33,2704.0,0.09567998
140-33,2704.0,0.09314756
141-33,2704.0,0.09242908
142-33,2704.0,0.08034648
143-33,2704.0,0.055959012
144-33,2704.0,0.07800528
